year,population_total,youth_population_0_14,working_age_population_15_64,elderly_population_65_plus,youth_share_0_14_percent,working_age_share_15_64_percent,elderly_share_65_plus_percent,dependency_ratio_total,old_age_dependency_ratio,youth_dependency_ratio,youth_to_working_age_ratio,elderly_to_working_age_ratio
2000,3089027.0,914868.0,1947712.0,226447.0,29.6167029489308,63.0526057298341,7.33069132123503,58.5977290277002,11.62630820162324,46.97142082607695,0.4697142082607695,0.1162630820162323
2001,3060173.0,888582.0,1938841.0,232750.0,29.0369887515453,63.3572203567186,7.60579089173614,57.83517059934261,12.004594497434292,45.83057610190831,0.458305761019083,0.1200459449743429
2002,3051010.0,862957.0,1946583.0,241470.0,28.2843164782655,63.8012540793314,7.91442944240309,56.736702211002566,12.404813974025254,44.331888236977306,0.443318882369773,0.1240481397402525
2003,3039616.0,835817.0,1953305.0,250494.0,27.4974483557629,64.2615866296247,8.24096501461232,55.61399781396147,12.824110929936698,42.78988688402477,0.4278988688402477,0.1282411092993669
2004,3026939.0,808130.0,1958916.0,259893.0,26.6979328951328,64.7160584866188,8.58600861824839,54.52112290675046,13.267184504082872,41.2539384026676,0.412539384026676,0.1326718450408287
2005,3011487.0,779083.0,1962602.0,269801.0,25.8703792619302,65.170542224898,8.95907851317178,53.44354076883647,13.747107156723573,39.6964336121129,0.3969643361211289,0.1374710715672357
2006,2992547.0,748992.0,1963443.0,280112.0,25.0285784899314,65.6110994839565,9.36032202611209,52.41323532183008,14.266367803903654,38.14686751792642,0.3814686751792642,0.1426636780390365
2007,2970017.0,718511.0,1961199.0,290307.0,24.1921381778413,66.033265550449,9.77459627170979,51.438839199897615,14.802526413688769,36.63631278620885,0.3663631278620884,0.1480252641368876
2008,2947314.0,688601.0,1958661.0,300052.0,23.363673162474,66.4557863939707,10.1805404435552,50.475962915481546,15.319241052943822,35.15672186253772,0.3515672186253772,0.1531924105294382
2009,2927519.0,659579.0,1958695.0,309245.0,22.53029271349,66.9063216544298,10.5633856320802,49.46272901089756,15.7883182425033,33.67441076839427,0.3367441076839426,0.157883182425033
2010,2913021.0,632011.0,1962907.0,318103.0,21.6960540631808,67.3838908889083,10.9200550479108,48.40341391619674,16.205709185407155,32.19770473078959,0.3219770473078959,0.1620570918540715
2011,2905195.0,607953.0,1971042.0,326201.0,20.9264009254324,67.8454159774467,11.2281830971209,47.39391651725331,16.549672711185252,30.84424380606806,0.3084424380606806,0.1654967271118525
2012,2860708.0,580497.0,1950963.0,329248.0,20.2920855091608,68.198600414295,11.5093140765442,46.6305614201807,16.876178584627183,29.75438283555352,0.2975438283555351,0.1687617858462718
2013,2816902.0,557583.0,1926357.0,332962.0,19.794192578173,68.3856722403311,11.8201351814959,46.229489134153226,17.284542792431516,28.944946341721707,0.289449463417217,0.1728454279243151
2014,2773767.0,537737.0,1898552.0,337478.0,19.3865379916553,68.4466928018412,12.1667692065035,46.099079719702175,17.775546837800597,28.32353288190157,0.2832353288190157,0.177755468378006
2015,2731293.0,518771.0,1869933.0,342589.0,18.9935976695213,68.4632957891861,12.5431065412926,46.063682495576046,18.32092379780452,27.742758697771524,0.2774275869777152,0.1832092379780452
2016,2689469.0,500410.0,1841574.0,347485.0,18.6062746506784,68.473513186339,12.9202121629827,46.04186418791751,18.868913223144983,27.172950964772525,0.2717295096477252,0.1886891322314498
2017,2648285.0,484195.0,1811725.0,352365.0,18.2833562063906,68.411252681582,13.3053911120274,46.17477818101533,19.449143771819674,26.72563440919566,0.2672563440919566,0.1944914377181967
2018,2607733.0,469529.0,1779914.0,358290.0,18.0052663384505,68.2552118334715,13.739521828078,46.50893245403992,20.129624240272285,26.37930821376764,0.2637930821376763,0.2012962424027228
2019,2567801.0,455638.0,1746300.0,365863.0,17.7442916565786,68.0076096803147,14.2480986631067,47.04237530779362,20.95075302067228,26.09162228712134,0.2609162228712134,0.2095075302067227
2020,2528480.0,443040.0,1712060.0,373381.0,17.5219758955011,67.7110196944345,14.7670044100644,47.68647126853031,21.808873520787824,25.877597747742488,0.2587759774774248,0.2180887352078782
2021,2489762.0,432408.0,1677267.0,380087.0,17.3674317294264,67.3665631972931,15.2660050732804,48.441601724710495,22.661090929470383,25.780510795240115,0.2578051079524011,0.2266109092947038
2022,2451636.0,422232.0,1642625.0,386778.0,17.2224721389952,67.0011896981477,15.7763381628571,49.25104634350506,23.546335895289552,25.704710448215508,0.257047104482155,0.2354633589528955
2023,2414095.0,411409.0,1609140.0,393546.0,17.0419734995937,66.6560264328305,16.3020000675759,50.02392582373193,24.45691487378351,25.567010949948425,0.2556701094994842,0.2445691487378351
2024,2377128.0,400327.0,1574525.0,402276.0,16.8407829528601,66.2364608476109,16.922756199529,50.97429383464854,25.549038598942538,25.425255235706008,0.25425255235706,0.2554903859894253
2025,,391125.0,1549119.0,415053.0,16.6061971688693,65.7716964503975,17.6221063807332,52.04106333987253,26.792841608682096,25.24822173119044,0.2524822173119044,0.2679284160868209
