reporting_country_code,reporting_country,total_immigration_recorded
DE,Germany,16828903.0
ES,Spain,11146851.0
FR,France,6548079.0
UK,United Kingdom,6299026.0
IT,Italy,5578003.0
PL,Poland,3833529.0
RO,Romania,3703357.0
NL,Netherlands,3381532.0
CH,Switzerland,2514905.0
BE,Belgium,2261534.0
AT,Austria,1998328.0
SE,Sweden,1962546.0
MD,Moldova,1812330.0
EL,Greece,1749828.0
IE,Ireland,1664662.0
CZ,Czechia,1396030.0
HU,Hungary,1315032.0
PT,Portugal,1280443.0
DK,Denmark,1229632.0
NO,Norway,915280.0
LT,Lithuania,761967.0
FI,Finland,617027.0
BG,Bulgaria,607193.0
HR,Croatia,538255.0
SI,Slovenia,411780.0
CY,Cyprus,399155.0
LU,Luxembourg,386764.0
MT,Malta,384069.0
EE,Estonia,329632.0
LV,Latvia,227708.0
IS,Iceland,159523.0
ME,Montenegro,137691.0
SK,Slovakia,121882.0
MK,North Macedonia,37265.0
LI,Liechtenstein,11647.0
