x_variable,y_variable,n_observations,pearson_r,pearson_p_value,pearson_ci_lower,pearson_ci_upper,spearman_rho,spearman_p_value,significance_5_percent
unemployment_total_percent,net_migration,26,-0.4857,0.0119,-0.7348,-0.1211,-0.3563,0.074,Significant
gdp_growth_annual_percent,net_migration,25,-0.5791,0.0024,-0.7928,-0.2386,-0.5377,0.0056,Significant
gdp_per_capita_current_usd,net_migration,25,0.5753,0.0026,0.2332,0.7907,0.5646,0.0033,Significant
remittances_percent_gdp,net_migration,25,-0.8403,0.0,-0.9275,-0.6664,-0.6362,0.0006,Significant
population_growth_annual_percent,net_migration,25,-0.7849,0.0,-0.9007,-0.565,-0.6223,0.0009,Significant
unemployment_total_percent,total_first_residence_permits,18,-0.0918,0.7172,-0.5357,0.3919,-0.4097,0.0913,Not significant
gdp_growth_annual_percent,total_first_residence_permits,17,0.5614,0.019,0.1107,0.8206,0.7426,0.0006,Significant
unemployment_total_percent,migration_pressure_index,25,-0.7729,0.0,-0.8948,-0.5439,-0.7732,0.0,Significant
gdp_growth_annual_percent,migration_pressure_index,25,-0.3601,0.0771,-0.6611,0.0409,-0.2738,0.1853,Not significant
residence_permits_per_100k_population,migration_pressure_index,17,1.0,0.0,1.0,1.0,1.0,0.0,Significant
